family,map,config,instance,alg,expanded,cost,optimal,time_ms,status,mvc,exp_over_mvc
industrial-plants,plant01,diag,19,gbfs,130,74.463373,69.137300,0.802,subopt,753.0,0.17264276228419656
industrial-plants,plant01,diag,20,astar,1599,95.960847,95.960800,4.694,ok,1542.0,1.0369649805447472
industrial-plants,plant01,diag,20,rastar,31651,95.960847,95.960800,100.864,ok,1542.0,20.525940337224384
industrial-plants,plant01,diag,20,mm,20603,95.960847,95.960800,3510.340,ok,1542.0,13.361219195849547
industrial-plants,plant01,diag,20,bia,3153,95.960847,95.960800,8.043,ok,1542.0,2.044747081712062
industrial-plants,plant01,diag,20,bae,17194,95.960847,95.960800,54.404,ok,1542.0,11.150453955901426
industrial-plants,plant01,diag,20,nbs,3372,95.960847,95.960800,7.959,ok,1542.0,2.186770428015564
industrial-plants,plant01,diag,20,gbfs,160,98.547363,95.960800,0.800,subopt,1542.0,0.10376134889753567
industrial-plants,plant01,diag,21,astar,1600,134.792674,134.793000,4.179,ok,216.0,7.407407407407407
industrial-plants,plant01,diag,21,rastar,41760,134.792674,134.793000,102.224,ok,216.0,193.33333333333334
industrial-plants,plant01,diag,21,mm,25373,134.792674,134.793000,4456.115,ok,216.0,117.4675925925926
industrial-plants,plant01,diag,21,bia,3195,134.792674,134.793000,8.240,ok,216.0,14.791666666666666
industrial-plants,plant01,diag,21,bae,3725,134.792674,134.793000,9.186,ok,216.0,17.24537037037037
industrial-plants,plant01,diag,21,nbs,21306,134.792674,134.793000,49.507,ok,216.0,98.63888888888889
industrial-plants,plant01,diag,21,gbfs,394,147.808996,134.793000,1.516,subopt,216.0,1.8240740740740742
industrial-plants,plant01,diag,22,astar,1600,83.035315,83.035300,3.560,ok,1552.0,1.0309278350515463
industrial-plants,plant01,diag,22,rastar,12895,83.035315,83.035300,34.077,ok,1552.0,8.308634020618557
industrial-plants,plant01,diag,22,mm,11300,83.035315,83.035300,57.958,ok,1552.0,7.280927835051546
industrial-plants,plant01,diag,22,bia,3189,83.035315,83.035300,8.435,ok,1552.0,2.0547680412371134
industrial-plants,plant01,diag,22,bae,9837,83.035315,83.035300,29.223,ok,1552.0,6.338273195876289
industrial-plants,plant01,diag,22,nbs,4980,83.035315,83.035300,11.590,ok,1552.0,3.2087628865979383
industrial-plants,plant01,diag,22,gbfs,128,86.843291,83.035300,0.802,subopt,1552.0,0.08247422680412371
industrial-plants,plant01,diag,23,astar,1600,121.308122,121.308000,3.359,ok,1471.0,1.087695445275323
industrial-plants,plant01,diag,23,rastar,57477,121.308122,121.308000,153.381,ok,1471.0,39.07341944255609
industrial-plants,plant01,diag,23,mm,45221,121.308122,121.308000,438.011,ok,1471.0,30.74167233174711
industrial-plants,plant01,diag,23,bia,3195,121.308122,121.308000,8.253,ok,1471.0,2.1719918422841604
industrial-plants,plant01,diag,23,bae,24484,121.308122,121.308000,78.313,ok,1471.0,16.644459551325628
industrial-plants,plant01,diag,23,nbs,12846,121.308122,121.308000,31.413,ok,1471.0,8.73283480625425
industrial-plants,plant01,diag,23,gbfs,920,148.869329,121.308000,2.741,subopt,1471.0,0.6254248810333106
