VoxelMap: loaded 'benchmarks/industrial-plants/plants/plant01.3dmap' [voxel] 195x128x100, 87620 listed voxels, diagonals=1
instance,alg,expanded,generated,cost,optimal,time_ms,optimal_ok
39,bae,11934,296672,120.430291,120.430000,6.539,1
39,nbs,8978,222898,120.430291,120.430000,4.586,1
39,gbfs,212,0,134.824782,120.430000,0.167,0
40,astar,3198,73837,73.656854,73.656900,1.822,1
40,rastar,15549,382576,73.656854,73.656900,8.303,1
40,mm,14520,356424,73.656854,73.656900,25.206,1
40,bae,9981,237711,73.656854,73.656900,5.210,1
40,nbs,6624,157905,73.656854,73.656900,3.274,1
40,gbfs,138,0,75.949383,73.656900,0.097,0
41,astar,3198,76948,79.679976,79.680000,1.957,1
41,rastar,9823,247019,79.679976,79.680000,5.542,1
41,mm,12766,318313,79.679976,79.680000,24.428,1
41,bae,10738,266338,79.679976,79.680000,5.866,1
41,nbs,7636,189868,79.679976,79.680000,3.773,1
41,gbfs,124,0,82.608179,79.680000,0.110,0
42,astar,3198,70782,147.646946,147.647000,1.847,1
42,rastar,36960,927559,147.646946,147.647000,20.858,1
42,mm,25625,637550,147.646946,147.647000,95.670,1
42,bae,15211,369155,147.646946,147.647000,7.996,1
42,nbs,9154,220038,147.646946,147.647000,4.661,1
42,gbfs,224,0,150.197901,147.647000,0.197,0
43,astar,3199,76689,87.906778,87.906800,2.111,1
43,rastar,18194,460652,87.906778,87.906800,10.101,1
43,mm,20582,520420,87.906778,87.906800,37.609,1
43,bae,15210,376154,87.906778,87.906800,8.449,1
43,nbs,6894,169473,87.906778,87.906800,3.619,1
43,gbfs,156,0,98.483094,87.906800,0.153,0
44,astar,3199,75090,114.218545,114.219000,2.031,1
44,rastar,86733,2214337,114.218545,114.219000,50.218,1
44,mm,68285,1755484,114.218545,114.219000,118.522,1
44,bae,34464,860469,114.218545,114.219000,18.868,1
44,nbs,14922,373362,114.218545,114.219000,7.007,1
44,gbfs,182,0,118.881522,114.219000,0.166,0
45,astar,3200,74978,136.980033,136.980000,2.539,1
45,rastar,149720,3755500,136.980033,136.980000,86.808,1
45,mm,100990,2550664,136.980033,136.980000,416.125,1
45,bae,54757,1361557,136.980033,136.980000,29.850,1
45,nbs,16586,412950,136.980033,136.980000,8.429,1
45,gbfs,244,0,142.567814,136.980000,0.219,0
46,astar,3200,76136,51.213203,51.213200,3.123,1
46,rastar,3389,78005,51.213203,51.213200,1.757,1
46,mm,6487,152285,51.213203,51.213200,88.054,1
46,bae,6079,142592,51.213203,51.213200,3.623,1
46,nbs,6354,149043,51.213203,51.213200,3.157,1
46,gbfs,84,0,53.505732,51.213200,0.080,0
